Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
1,Serious,16:38,Wednesday,Rainy,Dark,Village Road,Wet,Unknown,78,2
1,Minor,14:24,Thursday,Clear,Daylight,Urban Road,Dry,Unknown,50,3
0,Minor,20:14,Wednesday,Hazy,Dawn,Village Road,Under Construction,Signs,89,5
1,Minor,0:59,Sunday,Hazy,Dark,Urban Road,Icy,Signals,68,3
1,Minor,22:20,Tuesday,Clear,Dusk,National Highway,Icy,None,24,5
0,Minor,2:56,Saturday,Hazy,Dark,Village Road,Under Construction,Signs,50,4
1,Serious,12:46,Friday,Hazy,Dark,State Highway,Wet,Signals,56,5
0,Minor,22:08,Tuesday,Foggy,Daylight,State Highway,Dry,None,98,3
1,Minor,23:12,Saturday,Foggy,Dark,State Highway,Icy,Guard,34,2
1,Serious,18:58,Wednesday,Clear,Dark,National Highway,Wet,Unknown,71,5
0,Minor,17:35,Saturday,Stormy,Dusk,National Highway,Dry,Signals,88,3
0,Serious,20:34,Sunday,Rainy,Dark,Urban Road,Dry,None,111,4
0,Minor,23:50,Wednesday,Foggy,Dusk,State Highway,Icy,Signs,116,5
0,Minor,20:46,Tuesday,Rainy,Dark,Urban Road,Under Construction,None,30,4
1,Minor,7:14,Monday,Snowy,Dark,Urban Road,Icy,Signs,62,4
1,Minor,16:55,Monday,Clear,Dawn,Village Road,Icy,Unknown,89,1
0,Minor,14:00,Saturday,Stormy,Dark,Village Road,Icy,Unknown,42,5
0,Minor,23:06,Monday,Snowy,Dusk,State Highway,Wet,None,59,3
0,Minor,12:06,Wednesday,Snowy,Dusk,National Highway,Under Construction,None,82,5
0,Minor,13:47,Thursday,Hazy,Daylight,Village Road,Wet,Signs,21,5
0,Minor,8:54,Wednesday,Snowy,Daylight,National Highway,Icy,Signs,98,4
0,Minor,12:51,Thursday,Clear,Dawn,Urban Road,Under Construction,Signals,106,4
1,Minor,10:48,Tuesday,Foggy,Dusk,Urban Road,Dry,Signals,105,4
0,Minor,21:38,Friday,Clear,Dusk,Urban Road,Under Construction,Signals,92,4
0,Minor,18:06,Thursday,Foggy,Dusk,Urban Road,Icy,None,66,3
1,Minor,17:51,Monday,Snowy,Dawn,State Highway,Under Construction,Signals,49,2
0,Minor,14:17,Wednesday,Snowy,Dusk,Urban Road,Dry,None,35,1
1,Minor,11:29,Tuesday,Stormy,Daylight,Village Road,Dry,Unknown,78,4
1,Minor,3:49,Monday,Foggy,Dawn,Urban Road,Under Construction,Guard,66,4
0,Minor,4:56,Tuesday,Snowy,Daylight,National Highway,Dry,Unknown,49,1
0,Minor,10:17,Friday,Hazy,Daylight,Village Road,Wet,None,28,4
0,Minor,17:25,Sunday,Rainy,Dawn,National Highway,Under Construction,None,84,2
0,Minor,18:29,Wednesday,Stormy,Dark,National Highway,Dry,Guard,78,5
0,Serious,6:17,Saturday,Clear,Dark,State Highway,Dry,Signs,83,1
0,Minor,21:07,Wednesday,Stormy,Daylight,State Highway,Under Construction,Signs,27,3
0,Minor,5:21,Friday,Rainy,Dark,National Highway,Wet,Signs,71,1
0,Minor,1:05,Wednesday,Foggy,Dusk,National Highway,Under Construction,Signals,37,2
0,Minor,14:37,Saturday,Clear,Dawn,Urban Road,Dry,Signs,110,3
1,Minor,3:04,Thursday,Clear,Daylight,Village Road,Under Construction,Signals,101,5
0,Minor,9:22,Tuesday,Foggy,Dusk,Urban Road,Dry,Signals,115,4
0,Minor,21:15,Saturday,Stormy,Dark,State Highway,Icy,Signs,77,1
0,Minor,19:08,Monday,Snowy,Dusk,State Highway,Under Construction,Signs,68,3
1,Minor,22:53,Friday,Stormy,Dark,Urban Road,Under Construction,Guard,51,1
0,Minor,7:46,Thursday,Rainy,Daylight,Village Road,Dry,Guard,67,5
0,Minor,2:35,Monday,Hazy,Dusk,National Highway,Dry,Signals,64,1
1,Minor,6:54,Monday,Snowy,Dawn,Urban Road,Dry,Guard,73,3
0,Minor,0:50,Friday,Stormy,Daylight,State Highway,Dry,Signals,119,2
1,Minor,5:09,Thursday,Hazy,Dusk,Village Road,Under Construction,None,119,3
0,Minor,6:29,Sunday,Hazy,Dusk,State Highway,Dry,Signals,104,1
0,Minor,23:13,Monday,Foggy,Dark,Village Road,Under Construction,Signals,65,5
0,Minor,7:19,Monday,Rainy,Daylight,Village Road,Wet,Guard,115,4
0,Minor,16:57,Thursday,Rainy,Daylight,Village Road,Under Construction,None,50,4
0,Minor,19:00,Wednesday,Rainy,Daylight,Urban Road,Dry,Unknown,56,5
1,Minor,1:04,Monday,Snowy,Daylight,Urban Road,Dry,Unknown,35,1
0,Minor,15:33,Tuesday,Clear,Dark,Urban Road,Wet,Unknown,65,5
0,Minor,8:16,Thursday,Snowy,Dawn,Village Road,Under Construction,None,65,1
0,Minor,18:11,Monday,Stormy,Daylight,Village Road,Wet,Signs,97,3
0,Serious,13:14,Friday,Hazy,Dark,State Highway,Under Construction,None,107,2
0,Minor,4:21,Saturday,Hazy,Dawn,National Highway,Dry,Guard,108,1
0,Minor,13:55,Tuesday,Clear,Dawn,Urban Road,Under Construction,Signals,80,4
0,Minor,7:09,Saturday,Stormy,Dark,Village Road,Dry,Signals,65,4
0,Minor,11:32,Saturday,Clear,Daylight,State Highway,Dry,Guard,70,2
0,Minor,2:15,Monday,Hazy,Dawn,State Highway,Icy,Guard,81,1
0,Minor,13:05,Tuesday,Snowy,Daylight,State Highway,Icy,Signals,54,2
0,Minor,2:34,Tuesday,Rainy,Daylight,Urban Road,Under Construction,Signs,100,3
0,Minor,16:11,Wednesday,Hazy,Dusk,Urban Road,Dry,Signs,61,2
1,Minor,12:53,Saturday,Foggy,Daylight,National Highway,Wet,Signs,64,3
0,Minor,5:37,Tuesday,Rainy,Dusk,State Highway,Dry,Guard,87,4
0,Minor,22:07,Wednesday,Hazy,Dawn,Urban Road,Wet,Signals,94,3
0,Minor,5:11,Thursday,Snowy,Dark,State Highway,Under Construction,Signals,66,1
1,Minor,3:11,Wednesday,Clear,Dusk,Village Road,Under Construction,Signals,98,1
1,Serious,15:41,Friday,Rainy,Dark,State Highway,Wet,None,49,1
0,Minor,0:18,Sunday,Snowy,Dawn,National Highway,Wet,None,43,1
0,Minor,8:26,Monday,Stormy,Daylight,Urban Road,Dry,Unknown,85,5
1,Minor,13:28,Thursday,Foggy,Dawn,Village Road,Under Construction,None,62,3
0,Minor,8:31,Sunday,Rainy,Dark,Urban Road,Dry,Signs,53,1
0,Minor,7:15,Sunday,Clear,Dawn,Village Road,Wet,Signs,42,2
0,Minor,13:20,Thursday,Stormy,Daylight,State Highway,Icy,Signs,80,2
0,Minor,22:38,Friday,Snowy,Dawn,State Highway,Icy,Signs,114,5
1,Minor,16:09,Wednesday,Foggy,Daylight,National Highway,Icy,Unknown,56,3
1,Minor,20:22,Monday,Clear,Dusk,National Highway,Wet,Signs,32,3
0,Serious,12:17,Wednesday,Snowy,Dark,Village Road,Dry,Guard,116,3
0,Minor,7:52,Tuesday,Snowy,Daylight,National Highway,Under Construction,Guard,90,5
0,Minor,0:35,Wednesday,Rainy,Daylight,National Highway,Wet,Guard,115,3
1,Minor,19:34,Thursday,Rainy,Dawn,National Highway,Icy,None,26,3
1,Minor,1:42,Monday,Clear,Dusk,National Highway,Dry,Signals,61,1
1,Minor,19:53,Wednesday,Hazy,Daylight,State Highway,Under Construction,Unknown,57,3
1,Minor,19:10,Monday,Hazy,Dusk,National Highway,Under Construction,Guard,71,1
0,Minor,18:13,Monday,Snowy,Dusk,State Highway,Wet,Guard,63,1
0,Minor,22:10,Tuesday,Rainy,Dawn,State Highway,Wet,Signs,83,3
0,Minor,15:02,Tuesday,Foggy,Daylight,Urban Road,Under Construction,Guard,32,2
1,Minor,18:30,Thursday,Foggy,Dawn,State Highway,Under Construction,Signs,107,4
0,Minor,5:48,Friday,Snowy,Dark,State Highway,Icy,Signs,47,2
0,Serious,12:46,Sunday,Rainy,Dark,National Highway,Under Construction,Signals,115,3
0,Minor,10:01,Monday,Clear,Daylight,State Highway,Wet,None,101,3
0,Minor,8:58,Friday,Clear,Dusk,Village Road,Dry,Signs,117,2
0,Minor,11:18,Sunday,Clear,Daylight,National Highway,Icy,Signs,117,3
0,Minor,17:48,Sunday,Foggy,Daylight,National Highway,Icy,Signals,20,1
0,Minor,12:48,Thursday,Rainy,Dark,National Highway,Under Construction,Signs,62,5
0,Minor,2:53,Sunday,Rainy,Dark,Urban Road,Dry,Unknown,61,3
0,Minor,9:41,Sunday,Foggy,Dusk,National Highway,Icy,None,114,3
0,Minor,15:38,Monday,Clear,Dusk,State Highway,Wet,Unknown,69,2
1,Minor,10:40,Monday,Clear,Daylight,Village Road,Under Construction,Guard,79,1
0,Minor,0:23,Saturday,Snowy,Dawn,National Highway,Wet,None,20,2
0,Minor,9:59,Friday,Hazy,Daylight,National Highway,Under Construction,Guard,70,2
1,Minor,16:04,Wednesday,Stormy,Dusk,Village Road,Icy,Signs,35,3
0,Minor,19:03,Tuesday,Hazy,Dawn,National Highway,Under Construction,Signals,58,1
1,Minor,13:51,Wednesday,Rainy,Dark,Urban Road,Dry,Unknown,34,3
0,Minor,17:16,Friday,Rainy,Dusk,State Highway,Wet,Guard,52,3
0,Minor,17:03,Tuesday,Rainy,Dusk,Village Road,Dry,Signs,106,3
0,Minor,5:53,Wednesday,Hazy,Dawn,Village Road,Wet,Unknown,72,3
0,Minor,16:23,Saturday,Stormy,Dusk,Urban Road,Wet,Unknown,117,5
0,Minor,3:38,Tuesday,Snowy,Dusk,State Highway,Under Construction,Guard,36,4
0,Minor,17:07,Monday,Hazy,Dusk,Urban Road,Icy,Signs,108,1
1,Minor,0:01,Wednesday,Stormy,Dusk,State Highway,Icy,Signals,25,5
0,Minor,21:39,Tuesday,Clear,Dusk,Urban Road,Dry,Guard,50,4
1,Minor,22:34,Saturday,Clear,Dusk,National Highway,Under Construction,Unknown,88,4
0,Minor,9:02,Sunday,Rainy,Dusk,Urban Road,Icy,Unknown,59,4
1,Minor,18:45,Tuesday,Foggy,Dusk,Village Road,Wet,None,49,5
0,Serious,22:48,Tuesday,Rainy,Dark,Village Road,Wet,Signs,88,1
0,Minor,21:05,Saturday,Foggy,Dusk,Village Road,Under Construction,None,95,2
0,Minor,21:30,Sunday,Stormy,Dark,Urban Road,Dry,Signals,26,4
0,Minor,18:39,Wednesday,Clear,Dark,Village Road,Under Construction,Guard,32,2
1,Minor,8:57,Thursday,Hazy,Daylight,Village Road,Dry,Unknown,23,2
0,Minor,20:48,Wednesday,Foggy,Daylight,National Highway,Under Construction,Signs,69,3
0,Minor,17:23,Sunday,Stormy,Dark,National Highway,Wet,Unknown,22,2
0,Minor,20:38,Friday,Clear,Dark,State Highway,Under Construction,None,31,3
0,Minor,10:34,Saturday,Hazy,Dusk,State Highway,Icy,None,84,1
1,Minor,19:23,Wednesday,Foggy,Daylight,State Highway,Icy,Guard,46,1
1,Minor,23:09,Tuesday,Rainy,Dawn,Urban Road,Under Construction,Signs,69,3
1,Minor,12:05,Saturday,Rainy,Daylight,State Highway,Dry,Signs,96,1
0,Minor,17:49,Monday,Rainy,Dark,Urban Road,Dry,Guard,36,4
0,Fatal,15:28,Sunday,Stormy,Dark,Urban Road,Wet,None,91,1
1,Minor,14:21,Wednesday,Rainy,Dusk,State Highway,Wet,None,51,3
0,Minor,17:04,Saturday,Snowy,Dusk,State Highway,Dry,None,103,4
1,Minor,11:24,Wednesday,Clear,Daylight,Urban Road,Under Construction,Unknown,70,2
1,Minor,15:52,Saturday,Stormy,Dusk,National Highway,Wet,Signals,36,2
1,Minor,22:45,Tuesday,Hazy,Dawn,Village Road,Dry,None,53,2
0,Minor,21:29,Monday,Rainy,Dawn,Village Road,Dry,Signals,54,3
0,Minor,5:39,Monday,Clear,Dusk,Village Road,Under Construction,Signals,118,2
1,Minor,2:35,Friday,Foggy,Dawn,National Highway,Icy,Signs,43,1
0,Minor,8:14,Saturday,Rainy,Dawn,Urban Road,Dry,Guard,73,2
0,Minor,18:41,Wednesday,Clear,Daylight,State Highway,Wet,Unknown,37,5
0,Minor,1:22,Monday,Snowy,Dawn,Urban Road,Under Construction,Signals,69,5
1,Minor,3:13,Sunday,Foggy,Dark,Urban Road,Under Construction,Unknown,65,2
0,Minor,14:01,Monday,Snowy,Dark,State Highway,Under Construction,Signs,67,2
0,Minor,9:17,Thursday,Hazy,Daylight,National Highway,Icy,None,52,5
0,Minor,0:52,Thursday,Clear,Dusk,Village Road,Icy,Signals,106,2
0,Minor,2:33,Monday,Snowy,Daylight,Village Road,Wet,Guard,108,4
1,Minor,20:50,Saturday,Hazy,Dusk,Urban Road,Wet,Signs,46,5
0,Minor,9:04,Friday,Clear,Dusk,National Highway,Under Construction,Unknown,20,3
0,Minor,10:02,Monday,Clear,Dusk,Village Road,Wet,None,104,5
1,Minor,1:57,Tuesday,Snowy,Dusk,National Highway,Dry,Unknown,78,1
1,Minor,17:03,Wednesday,Clear,Dusk,State Highway,Icy,Guard,29,4
0,Minor,5:36,Friday,Rainy,Daylight,Urban Road,Under Construction,Signals,114,3
1,Minor,15:47,Tuesday,Clear,Dusk,Urban Road,Under Construction,Guard,44,2
0,Minor,19:49,Friday,Stormy,Dawn,National Highway,Dry,Unknown,103,1
0,Minor,2:50,Tuesday,Hazy,Dawn,Village Road,Dry,Unknown,76,1
1,Minor,21:05,Wednesday,Clear,Dusk,National Highway,Dry,Guard,85,4
1,Minor,16:17,Wednesday,Stormy,Dawn,State Highway,Dry,Guard,34,3
1,Minor,22:42,Thursday,Clear,Dark,Village Road,Under Construction,Guard,47,1
1,Minor,23:09,Saturday,Clear,Daylight,Village Road,Icy,None,32,3
0,Minor,7:06,Tuesday,Snowy,Daylight,National Highway,Icy,Unknown,33,3
0,Minor,17:01,Thursday,Rainy,Dusk,State Highway,Dry,Signs,85,1
1,Minor,20:34,Tuesday,Hazy,Dusk,Village Road,Wet,None,53,3
0,Serious,18:44,Thursday,Rainy,Dark,Urban Road,Under Construction,None,118,4
1,Minor,12:42,Wednesday,Foggy,Dusk,State Highway,Icy,None,44,1
1,Minor,9:39,Friday,Snowy,Dawn,Village Road,Dry,Signs,73,4
1,Serious,20:57,Sunday,Snowy,Dark,National Highway,Wet,Guard,98,4
0,Minor,21:43,Thursday,Rainy,Dawn,Village Road,Wet,Unknown,31,3
0,Minor,19:28,Tuesday,Snowy,Daylight,Urban Road,Dry,Signals,28,3
0,Minor,20:50,Tuesday,Rainy,Dawn,State Highway,Under Construction,Signals,50,1
0,Minor,22:22,Sunday,Snowy,Daylight,Village Road,Icy,Unknown,97,2
0,Minor,14:30,Saturday,Clear,Dawn,Urban Road,Wet,Signs,112,1
0,Minor,22:13,Wednesday,Rainy,Daylight,Village Road,Icy,Signals,72,4
0,Minor,16:22,Tuesday,Rainy,Dusk,Village Road,Icy,None,62,3
0,Minor,20:50,Monday,Stormy,Dawn,State Highway,Wet,Signals,57,4
0,Minor,20:07,Friday,Snowy,Daylight,National Highway,Dry,Unknown,61,5
0,Minor,23:22,Thursday,Snowy,Dawn,National Highway,Wet,None,91,5
0,Minor,6:40,Saturday,Rainy,Dark,Urban Road,Wet,Signals,67,4
1,Minor,2:39,Sunday,Clear,Dusk,Urban Road,Under Construction,Unknown,86,2
0,Minor,3:43,Friday,Clear,Daylight,Urban Road,Icy,Signs,85,2
0,Minor,9:02,Wednesday,Hazy,Dark,State Highway,Dry,Unknown,35,1
0,Minor,8:03,Saturday,Clear,Dawn,National Highway,Icy,Signs,102,1
1,Fatal,9:16,Thursday,Snowy,Dark,Urban Road,Wet,None,113,1
0,Minor,21:16,Thursday,Stormy,Dawn,Urban Road,Dry,Unknown,35,3
0,Minor,7:15,Sunday,Rainy,Dusk,Village Road,Dry,Guard,50,2
0,Minor,18:27,Monday,Foggy,Dark,Village Road,Dry,Guard,77,4
0,Minor,23:06,Sunday,Stormy,Dusk,Urban Road,Dry,Guard,47,5
0,Minor,7:32,Wednesday,Foggy,Daylight,Village Road,Under Construction,Guard,23,2
0,Minor,19:58,Saturday,Stormy,Dawn,Village Road,Dry,Guard,29,2
0,Minor,23:04,Saturday,Clear,Dawn,Village Road,Wet,Signs,70,2
1,Minor,13:40,Tuesday,Snowy,Dusk,State Highway,Under Construction,Unknown,37,1
1,Minor,16:43,Monday,Foggy,Dusk,Urban Road,Wet,None,66,3
0,Minor,16:50,Monday,Stormy,Daylight,Urban Road,Wet,Guard,51,4
0,Minor,11:22,Saturday,Snowy,Dark,Village Road,Icy,Guard,49,1
1,Minor,9:15,Saturday,Foggy,Dawn,State Highway,Dry,None,55,3
0,Minor,15:59,Friday,Rainy,Dawn,Village Road,Dry,None,28,2
0,Minor,12:59,Friday,Stormy,Daylight,State Highway,Wet,Guard,55,3
0,Minor,20:04,Friday,Rainy,Daylight,Urban Road,Dry,Signs,48,1
0,Minor,22:54,Monday,Clear,Dusk,Village Road,Under Construction,None,35,2
1,Minor,6:51,Tuesday,Rainy,Dusk,Urban Road,Icy,Unknown,111,1
1,Minor,13:22,Thursday,Rainy,Dark,State Highway,Dry,Unknown,40,4
0,Minor,3:13,Friday,Hazy,Daylight,National Highway,Dry,Signs,83,2
0,Serious,9:17,Tuesday,Stormy,Dark,State Highway,Under Construction,Signals,85,3
0,Minor,13:42,Sunday,Clear,Daylight,National Highway,Icy,Signs,78,1
0,Minor,0:07,Wednesday,Rainy,Dawn,Urban Road,Under Construction,Guard,118,5
0,Minor,17:12,Friday,Snowy,Daylight,Urban Road,Wet,Signals,47,3
0,Minor,16:33,Sunday,Foggy,Daylight,Village Road,Wet,Guard,74,3
1,Minor,15:42,Thursday,Rainy,Dawn,National Highway,Dry,Unknown,119,2
0,Minor,21:58,Wednesday,Clear,Daylight,State Highway,Icy,None,50,3
0,Minor,3:35,Wednesday,Rainy,Dark,Urban Road,Wet,Guard,52,1
1,Minor,6:09,Thursday,Foggy,Dusk,National Highway,Under Construction,Unknown,106,5
1,Minor,19:56,Friday,Clear,Dusk,State Highway,Wet,Signs,79,4
